"","state","state.abbr","turnout2018","turnout2014","ballots","vep","vap"
"1","Alabama","AL",0.474,0.332,1725000,3641209,3802714
"2","Alaska","AK",0.537,0.548,280000,521777,554426
"3","Arizona","AZ",0.486,0.341,2385000,4910625,5519036
"4","Arkansas","AR",0.412,0.403,895000,2171940,2319740
"5","California","CA",0.478,0.307,12250000,25635139,30836229
"6","Colorado","CO",0.619,0.547,2540000,4103903,4445013
"7","Connecticut","CT",0.526,0.425,1375000,2614176,2856023
"8","Delaware","DE",0.511,0.349,363000,710434,769716
"9","District of Columbia","DC",0.416,0.357,220000,529198,577553
"10","Florida","FL",0.548,0.433,8302000,15140654,17168712
"11","Georgia","GA",0.55,0.386,3950000,7178075,8063141
"12","Hawaii","HI",0.393,0.365,399000,1014363,1122119
"13","Idaho","ID",0.494,0.398,605000,1224275,1314172
"14","Illinois","IL",0.489,0.408,4410000,9017850,9902219
"15","Indiana","IN",0.461,0.287,2270000,4923068,5139352
"16","Iowa","IA",0.584,0.503,1350000,2312204,2431468
"17","Kansas","KS",0.507,0.433,1050000,2072292,2211696
"18","Kentucky","KY",0.486,0.449,1613000,3319907,3469061
"19","Louisiana","LA",0.432,0.449,1465000,3394257,3581751
"20","Maine","ME",0.587,0.587,630000,1073006,1092942
"21","Maryland","MD",0.511,0.42,2200000,4306482,4742399
"22","Massachusetts","MA",0.535,0.447,2700000,5042403,5546080
"23","Michigan","MI",0.573,0.432,4309000,7513813,7841291
"24","Minnesota","MN",0.643,0.506,2612000,4064389,4335998
"25","Mississippi","MS",0.407,0.29,895000,2201276,2278270
"26","Missouri","MO",0.532,0.336,2430000,4570675,4764892
"27","Montana","MT",0.606,0.475,498000,821710,835371
"28","Nebraska","NE",0.513,0.414,700000,1364285,1458088
"29","Nevada","NV",0.475,0.296,976000,2052636,2380512
"30","New Hampshire","NH",0.547,0.483,581000,1062391,1096918
"31","New Jersey","NJ",0.462,0.325,2825000,6114344,7074259
"32","New Mexico","NM",0.468,0.354,694000,1482246,1610112
"33","New York","NY",0.421,0.29,5800000,13772077,15748183
"34","North Carolina","NC",0.492,0.412,3725000,7577011,8117590
"35","North Dakota","ND",0.585,0.45,330000,564114,578460
"36","Ohio","OH",0.498,0.362,4400000,8839520,9113230
"37","Oklahoma","OK",0.425,0.3,1190000,2798385,2987070
"38","Oregon","OR",0.613,0.534,1909000,3113178,3339282
"39","Pennsylvania","PA",0.507,0.365,4950000,9758386,10178261
"40","Rhode Island","RI",0.473,0.424,375000,793460,856988
"41","South Carolina","SC",0.453,0.352,1730000,3819264,3996952
"42","South Dakota","SD",0.534,0.447,342000,640417,663321
"43","Tennessee","TN",0.447,0.298,2250000,5031061,5290993
"44","Texas","TX",0.461,0.283,8335000,18072155,21390152
"45","Utah","UT",0.423,0.303,880000,2082549,2242122
"46","Vermont","VT",0.563,0.408,280000,497750,508992
"47","Virginia","VA",0.546,0.368,3350000,6141102,6673763
"48","Washington","WA",0.578,0.431,3075000,5316196,5903135
"49","West Virginia","WV",0.423,0.32,594000,1405262,1435238
"50","Wisconsin","WI",0.612,0.569,2655000,4337051,4549459
"51","Wyoming","WY",0.487,0.397,205500,421722,438237
